1;Saint-Maurice-de-Beynost;1700
1;Saint-Maurice-de-Gourdans;1800
1;Saint-Maurice-de-Remens;1500
1;Saint-Nizier-le-Bouchoux;1560
1;Saint-Nizier-le-Desert;1320
1;Sainte-Olive;1330
1;Saint-Paul-de-Varax;1240
1;Saint-Rambert-en-Bugey;1230
1;Saint-Remy;1310
1;Saint-Sorlin-en-Bugey;1150
1;Saint-Sulpice;1340
1;Saint-Trivier-de-Courtes;1560
1;Saint-Trivier-sur-Moignans;1990
1;Saint-Vulbas;1150
1;Salavre;1270
1;Samognat;1580
1;Sandrans;1400
1;Sault-Brenaz;1150
1;Sauverny;1220
1;Savigneux;1480
1;Segny;1170
1;Seillonnaz;1470
1;Sergy;1630
1;Sermoyer;1190
1;Serrieres-de-Briord;1470
1;Serrieres-sur-Ain;1450
1;Servas;1960
1;Servignat;1560
1;Seyssel;1420
1;Simandre-sur-Suran;1250
1;Songieu;1260
1;Sonthonnax-la-Montagne;1580
1;Souclin;1150
1;Sulignat;1400
1;Surjoux;1420
1;Sutrieu;1260
1;Talissieu;1510
1;Tenay;1230
1;Thezillieu;1110
1;Thil;1120
1;Thoiry;1710
1;Thoissey;1140
1;Torcieu;1230
1;Tossiat;1250
1;Toussieux;1600
1;Tramoyes;1390
1;Trancliere (La);1160
1;Treffort-Cuisiat;1370
1;Trevoux;1600
1;Valeins;1140
1;Vandeins;1660
1;Varambon;1160
1;Vaux-en-Bugey;1150
1;Verjon;1270
1;Vernoux;1560
1;Versailleux;1330
1;Versonnex;1210
1;Vesancy;1170
1;Vescours;1560
1;Vesines;1570
1;Vieu-d'Izenave;1430
1;Vieu;1260
1;Villars-les-Dombes;1330
1;Villebois;1150
1;Villemotier;1270
1;Villeneuve;1480
1;Villereversure;1250
1;Villes;1200
1;Villette-sur-Ain;1320
1;Villieu-Loyes-Mollon;1800
1;Viriat;1440
1;Virieu-le-Grand;1510
1;Virieu-le-Petit;1260
1;Virignin;1300
1;Vongnes;1350
1;Vonnas;1540
1;Abergement-Clemenciat (L');1400
1;Abergement-de-Varey (L');1640
1;Amberieu-en-Bugey;1500
1;Amberieux-en-Dombes;1330
1;Ambleon;1300
1;Ambronay;1500
1;Ambutrix;1500
1;Andert-et-Condon;1300
1;Anglefort;1350
1;Apremont;1100
1;Aranc;1110
1;Arandas;1230
1;Arbent;1100
1;Arbignieu;1300
1;Arbigny;1190
1;Argis;1230
1;Armix;1510
1;Ars-sur-Formans;1480
